Step	Training Loss
10	4.009500
20	3.890000
30	3.657400
40	3.188700
50	2.750200
60	2.511500
70	2.351600
80	2.365400
90	2.178600
100	2.204400
110	2.121200
120	2.028300
130	2.152400
140	2.155700
150	2.065200
160	2.046900
170	2.032300
180	2.077000
190	2.185900
200	2.009600
210	2.098200
220	1.984300
230	2.065600
240	1.938900
250	2.069100
260	2.175400
270	1.999200
280	1.933000
290	1.992500
300	1.903200
310	1.978700
320	1.938600
330	2.245800
340	1.939500
350	2.041000
360	2.016200
370	1.975800
380	1.937000
390	1.976300
400	2.079400
410	2.146600
420	2.017300
430	2.049900
440	1.917700
450	2.080400
460	1.997200
470	2.070800
480	2.053500
490	1.926300
500	2.032400
510	2.083600
520	2.044700
530	1.953000
540	1.958800
550	2.006900
560	2.041200
570	1.942300
580	2.132100
590	1.999000
600	1.926800
610	1.950900
620	1.999300
630	2.052500
640	2.016700
650	1.914200
660	1.961700
670	1.961300
680	1.944500
690	1.946200
700	1.936200
710	1.930600
720	1.928800
730	2.038000
740	2.088800
750	1.962300
760	1.866000
770	2.017100
780	1.973900
790	1.849400
800	2.069500
810	1.866600
820	2.016500
830	2.013800
840	2.023800
850	1.961500
860	1.996900
870	2.036700
880	1.927400
890	1.825300
900	1.958700
910	2.126300
920	2.020600
930	1.882800
940	2.004100
950	1.923800
960	1.886000
970	1.966400
980	1.912500
990	1.921200
1000	1.802600
1010	1.999000
1020	1.983800
1030	2.066200
1040	1.954000
1050	1.936600
1060	1.845400
1070	1.895600
1080	2.004200
1090	2.028900
1100	2.011500
1110	2.001500
1120	2.025700
1130	1.944800
1140	1.924800
1150	1.978000
1160	1.918900
1170	1.959800
1180	1.847000
1190	1.971300
1200	1.923500
1210	1.935700
1220	1.914700
1230	1.902800
1240	2.056200
1250	2.031300
1260	1.974800
1270	1.809500
1280	1.925700
1290	1.908200
1300	1.885900
1310	1.992000
1320	2.017700
1330	1.827500
1340	1.812300
1350	1.968400
1360	1.911900
1370	1.909200
1380	2.011400
1390	1.881400
1400	1.813000
1410	2.090000
1420	1.811400
1430	1.872200
1440	1.960800
1450	1.860800
1460	2.023500
1470	1.921200
1480	1.965300
1490	2.024700
1500	1.992200
1510	1.976800
1520	1.957500
1530	1.977900
1540	1.837000
1550	1.963300
1560	1.845700
1570	1.761800
1580	1.884300
1590	1.910400
1600	1.913700
1610	1.899100
1620	1.877400
1630	1.793900
1640	2.023400
1650	1.959100
1660	2.023100
1670	1.846800
1680	2.001500
1690	1.849900
1700	1.903700
1710	1.969200
1720	1.836100
1730	1.935500
1740	1.999800
1750	1.934700
1760	2.035100
1770	2.020700
1780	2.018600
1790	1.963000
1800	1.922600
1810	1.770000
1820	1.974500
1830	1.930500
1840	1.856300
1850	1.969100
1860	1.947000
1870	1.938700
1880	1.921700
1890	1.863600
1900	1.959500
1910	1.909900
1920	2.037200
1930	1.994200
1940	1.880300
1950	1.958200
1960	1.965600
1970	1.952900
1980	1.914500
1990	1.892200
2000	1.898900
2010	1.836900
2020	1.886600
2030	1.866200
2040	1.842100
2050	1.929000
2060	1.924000
2070	1.973100
2080	1.889000
2090	1.977000
2100	2.028100
2110	1.927100
2120	1.953100
2130	1.948200
2140	1.875900
2150	1.806900
2160	1.845000
2170	1.970200
2180	2.053000
2190	1.868500
2200	2.017200
2210	1.990600
2220	1.750100
2230	1.922100
2240	1.837400
2250	1.937600
2260	1.817800
2270	1.939500
2280	1.911500
2290	1.839900
2300	1.924800
2310	1.930900
2320	1.968100
2330	1.940400
2340	1.869500
2350	1.801500
2360	1.846200
2370	1.919700
2380	1.972400
2390	1.846200
2400	1.905800
2410	1.996300
2420	1.888800
2430	1.941500
2440	1.923800
2450	1.926500
2460	1.903900
2470	1.744600
2480	1.893100
2490	1.951500
2500	1.997300
2510	2.025700
2520	1.951100
2530	1.976900
2540	1.844600
2550	1.900900
2560	1.847900
2570	1.921300
2580	1.822100
2590	2.023200
2600	1.926000
2610	1.947300
2620	1.870200
2630	1.753900
2640	1.878400
2650	1.970100
2660	1.836800
2670	1.952300
2680	1.864600
2690	1.898800
2700	1.900900
2710	1.963900
2720	1.883300
2730	1.940400
2740	1.859600
2750	1.961300
2760	1.807600
2770	1.922800
2780	1.836800
2790	1.868900
2800	1.997000
2810	1.928000
2820	1.784500
2830	1.816600
2840	1.923200
2850	1.876500
2860	1.839300
2870	1.939000
2880	1.837200
2890	1.988900
2900	1.877400
2910	1.884500
2920	1.868700
2930	1.909100
2940	1.850000
2950	1.833700
2960	1.900700
2970	1.938000
2980	1.923900
2990	1.924800
3000	1.810900
3010	1.893700
3020	1.910100
3030	1.953700
3040	1.815500
3050	1.886100
3060	1.955400
3070	1.893100
3080	1.905300
3090	1.831300
3100	1.840400
3110	1.834000
3120	1.946400
3130	1.859500
3140	1.976300
3150	1.958400
3160	1.854000
3170	1.895200
3180	1.941700
3190	1.789200
3200	1.975100
3210	1.878400
3220	1.954200
3230	1.875500
3240	1.861100
3250	1.882400
3260	1.876700
3270	1.887600
3280	1.861900
3290	1.897000
3300	1.781900
3310	1.810000
3320	1.943400
3330	1.940400
3340	1.960400
3350	1.886500
3360	1.922000
3370	1.916700
3380	1.939800
3390	1.882200
3400	1.852000
3410	2.011900
3420	1.829400
3430	1.888500
3440	1.839200
3450	1.814500
3460	1.985800
3470	1.842100
3480	1.895600
3490	1.776200
3500	1.831900
3510	1.911600
3520	1.882700
3530	1.916000
3540	1.895800
3550	1.830400
3560	1.808300
3570	1.856700
3580	2.032300
3590	1.900000
3600	1.894300
3610	1.872800
3620	1.965700
3630	1.869500
3640	1.839000
3650	1.932300
3660	1.819700
3670	1.885800
3680	1.889900
3690	1.930500
3700	1.747100
3710	1.811200
3720	1.843300
3730	1.761100
3740	1.981400
3750	1.882500
3760	1.815700
3770	1.848600
3780	1.976700
3790	1.813500
3800	1.871500
3810	1.908500
3820	1.856800
3830	2.003800
3840	1.823700
3850	1.825700
3860	1.764000
3870	2.008700
3880	1.883400
3890	1.867600
3900	1.958400
3910	1.889700
3920	1.818700
3930	1.817000
3940	1.986500
3950	1.804300
3960	1.890000
3970	1.735500
3980	1.924700
3990	2.014400
4000	2.012500
4010	1.935100
4020	1.862600
4030	1.827200
4040	1.774000
4050	2.047900
4060	1.902800
4070	2.012900
4080	1.823300
4090	1.775400
4100	1.802600
4110	1.945600
4120	1.879300
4130	1.843600
4140	1.822900
4150	1.956400
4160	1.976000
4170	1.874300
4180	1.864900
4190	1.889800
4200	1.852400
4210	1.953800
4220	1.801400
4230	1.924800
4240	1.974100
4250	1.925000
4260	1.811900
4270	1.884800
4280	1.782000
4290	1.746100
4300	1.945900
4310	1.902100
4320	1.934900
4330	1.778900
4340	1.773200
4350	1.930000
4360	1.877600
4370	1.902700
4380	1.860100
4390	1.835100
4400	1.791500
4410	1.902000
4420	1.774200
4430	1.897500
4440	1.858400
4450	1.860300
4460	1.838400
4470	1.887100
4480	1.872100
4490	1.755900
4500	1.880300
4510	1.965100
4520	1.789300
4530	1.823400
4540	1.819500
4550	1.860400
4560	1.837100
4570	1.943300
4580	1.928600
4590	1.904000
4600	1.927900
4610	1.909200
4620	1.827400
4630	1.893400
4640	1.907700
4650	1.940700
4660	1.894900
4670	1.828800
4680	1.832900
4690	1.909500
4700	1.944400
4710	1.836200
4720	1.916700
4730	1.851300
4740	1.808500
4750	1.810700
4760	1.810800
4770	1.959700
4780	1.908600
4790	1.735100
4800	1.879900
4810	1.900400
4820	1.840000
4830	1.815300
4840	1.818900
4850	1.867500
4860	1.905100
4870	1.878500
4880	1.796100
4890	1.893700
4900	1.798400
4910	1.909500
4920	1.882200
4930	1.830600
4940	1.878300
4950	1.772500
4960	1.759800
4970	1.831200
4980	1.836600
4990	1.959500
5000	1.793900
5010	1.933500
5020	1.870400
5030	1.826400
5040	1.815300
5050	1.857000
5060	1.767100
5070	1.761100
5080	1.902000
5090	1.864600
5100	1.854700
5110	1.865700
5120	1.852300
5130	1.899500
5140	1.890300
5150	1.880100
5160	1.887300
5170	1.826300
5180	1.832500
5190	1.871600
5200	1.762100
5210	1.785300
5220	1.842200
5230	1.877500
5240	1.887400
5250	1.792100
5260	1.799800
5270	1.856700
5280	1.826300
5290	1.823700
5300	1.860000
5310	1.839200
5320	1.789400
5330	1.927400
5340	1.869300
5350	1.954700
5360	1.889000
5370	1.857700
5380	1.874100
5390	1.881100
5400	1.868000
5410	1.804000
5420	1.916400
5430	1.895400
5440	1.987400
5450	1.826700
5460	1.884700
5470	1.885800
5480	1.951200
5490	1.823400
5500	1.784600
5510	1.873100
5520	1.809200
5530	1.834100
5540	1.892200
5550	1.769000
5560	1.760600
5570	1.894200
5580	1.808200
5590	2.018400
5600	1.895000
5610	1.875700
5620	1.871300
5630	1.893700
5640	1.843400
5650	1.846800
5660	1.935900
5670	1.744000
5680	1.758700
5690	1.806700
5700	1.821100
5710	1.679300
5720	1.979500
5730	1.958800
5740	1.816700
5750	1.865300
5760	1.831800
5770	1.822200
5780	1.765800
5790	1.790900
5800	1.811700
5810	1.753200
5820	1.836100
5830	1.899200
5840	1.845600
5850	1.790800
5860	1.780500
5870	1.767200
5880	1.790200
5890	1.899700
5900	1.825700
5910	1.937600
5920	1.800300
5930	1.746700
5940	1.785100
5950	1.819800
5960	1.772500
5970	1.900900
5980	1.929800
5990	1.850100
6000	1.823000
6010	1.753900
6020	1.882000
6030	1.755400
6040	1.686500
6050	1.910200
6060	1.869000
6070	1.987600
6080	1.867800
6090	1.857300
6100	1.774600
6110	1.889100
6120	1.883900
6130	1.891700
6140	1.905700
6150	1.861400
6160	1.800900
6170	1.948200
6180	1.889000
6190	1.940200
6200	1.828200
6210	1.897900
6220	1.898000
6230	1.849100
6240	1.894300
6250	1.903100
6260	1.739500
6270	1.871400
6280	1.827100
6290	1.815300
6300	1.708700
6310	1.943700
6320	1.949100
6330	1.887900
6340	1.689400
6350	1.836300
6360	1.772000
6370	1.771900
6380	1.779700
6390	1.775800
6400	1.942300
6410	1.854300
6420	1.789200
6430	1.867300
6440	1.886800
6450	1.852500
6460	1.858900
6470	1.880800
6480	1.921400
6490	1.893200
6500	1.840000
6510	1.842700
6520	1.764700
6530	1.887200
6540	1.903300
6550	1.979600
6560	1.761900
6570	1.760600
6580	1.817100
6590	1.941400
6600	1.865800
6610	1.836600
6620	1.859900
6630	1.745400
6640	1.817800
6650	1.828700
6660	1.936800
6670	1.806100
6680	1.835800
6690	1.897900
6700	1.844400
6710	1.840500
6720	1.880500
6730	1.795700
6740	1.790000
6750	1.729900
6760	1.707500
6770	1.707700
6780	1.713200
6790	1.911500
6800	1.763700
6810	1.833600
6820	1.821000
6830	1.899600
6840	1.764100
6850	1.784500
6860	1.860200
6870	1.808700
6880	1.919200
6890	1.856100
6900	1.848500
6910	1.781900
6920	1.832100
6930	1.754500
6940	1.828200
6950	1.916300
6960	1.742600
6970	1.882700
6980	1.718300
6990	1.891200
7000	1.835200
7010	1.959200
7020	1.697800
7030	1.979700
7040	1.737500
7050	1.832800
7060	1.846700
7070	1.720700
7080	1.757700
7090	1.905200
7100	1.896000
7110	1.896500
7120	1.855900
7130	1.738500
7140	1.812700
7150	1.691900
7160	1.700000
7170	1.945800
7180	1.921100
7190	1.856800
7200	1.770400
7210	1.906800
7220	1.765200
7230	1.833700
7240	1.769500
7250	1.955800
7260	1.833500
7270	1.909700
7280	1.966700
7290	1.828700
7300	2.012400
7310	1.783300
7320	1.805800
7330	1.815400
7340	1.863200
7350	1.850400
7360	1.874200
7370	1.807900
7380	1.913800
7390	1.837100
7400	1.787700
7410	1.698900
7420	1.786800
7430	1.765000
7440	1.779000
7450	1.766700
7460	1.900100
7470	1.691300
7480	1.796800
7490	1.729200
7500	1.809100
7510	1.949300
7520	1.866700
7530	1.973600
7540	1.761400
7550	1.790800
7560	1.827600
7570	1.772200
7580	1.960800
7590	1.755600
7600	1.757200
7610	1.949900
7620	1.853600
7630	1.850500
7640	1.799700
7650	1.818600
7660	1.773400
7670	1.718000
7680	1.897100
7690	1.800500
7700	1.753100
7710	1.725100
7720	1.878900
7730	1.901700
7740	1.871500
7750	1.957200
7760	1.893600
7770	1.714900
7780	1.709300
7790	1.755400
7800	1.839500
7810	1.893500
7820	1.760700
7830	1.852300
7840	1.873900
7850	1.840100
7860	1.817000
7870	1.838800
7880	1.816400
7890	1.793600
7900	1.851000
7910	1.815700
7920	1.767400
7930	1.801000
7940	1.798000
7950	1.868900
7960	1.737400
7970	1.825900
7980	1.776900
7990	1.807500
8000	1.806000
8010	1.805200
8020	1.856200
8030	1.847900
8040	1.801600
8050	1.812200
8060	1.877900
8070	1.800400
8080	1.846000
8090	1.793300
8100	1.800300
8110	1.910400
8120	1.844300
8130	1.898900
8140	1.838800
8150	1.833300
8160	1.811000
8170	1.882500
8180	1.750400
8190	1.787700
8200	1.872200
8210	1.676300
8220	1.912200
8230	1.782900
8240	1.858700
8250	1.836400
8260	1.949700
8270	1.794600
8280	1.858100
8290	1.854300
8300	1.877200
8310	1.790000
8320	1.783300
8330	1.744400
8340	1.927200
8350	1.751700
8360	1.775100
8370	1.721900
8380	1.808600
8390	1.838800
8400	1.835800
8410	1.747600
8420	1.746600
8430	1.825200
8440	1.880100
8450	1.843200
8460	1.772500
8470	1.750200
8480	1.817400
8490	1.833900
8500	1.755200
8510	1.904000
8520	1.798500
8530	1.808000
8540	1.914100
8550	1.856500
8560	1.780300
8570	1.919700
8580	1.835300
8590	1.870500
8600	1.901600
8610	1.720600
8620	1.852500
8630	1.841800
8640	1.814300
8650	1.748000
8660	1.891700
8670	1.806900
8680	1.819000
8690	1.835400
8700	1.868500
8710	1.883400
8720	1.840800
8730	1.880100
8740	1.825300
8750	1.858700
8760	1.912400
8770	1.884500
8780	1.813900
8790	1.660300
8800	1.828500
8810	1.778400
8820	1.747500
8830	1.763000
8840	1.835200
8850	1.869900
8860	1.879800
8870	1.759500
8880	1.779000
8890	1.746200
8900	1.779500
8910	1.743100
8920	1.904600
8930	1.864100
8940	1.791100
8950	1.975800
8960	1.912500
8970	1.807600
8980	1.822600
